accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
GCA_003456865.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,UBA8230,SAMN08020455,PRJna417962,marine metagenome,marine,Parks et al. 2018 nature Biotech GTDB,Scaffold,2.32732,50.5,,DMON01,384,2448,2018-09-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/456/865/GCA_003456865.1_ASM345686v1,
GCA_003483905.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,UBA11791,SAMN08017542,PRJna417962,marine metagenome,marine,Parks et al. 2018 nature Biotech GTDB,Scaffold,2.1365,49.8,,DMXG01,384,2243,2018-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/483/905/GCA_003483905.1_ASM348390v1,
GCA_003504985.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,UBA8245,SAMN08018894,PRJna417962,hydrothermal vent metagenome,marine,Parks et al. 2018 nature Biotech GTDB,Scaffold,3.31538,51.6,,DNYN01,140,3288,2018-09-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/504/985/GCA_003504985.1_ASM350498v1,
GCA_003534255.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,UBA9619,SAMN08020348,PRJna417962,marine metagenome,marine,Parks et al. 2018 nature Biotech GTDB,Scaffold,3.07005,54.3,,DPDX01,430,3096,2018-09-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/534/255/GCA_003534255.1_ASM353425v1,
GCA_003540955.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,UBA11873,SAMN08019940,PRJna417962,marine metagenome,marine,Parks et al. 2018 nature Biotech GTDB,Scaffold,2.85741,48.2,,DPMX01,376,2925,2018-09-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/540/955/GCA_003540955.1_ASM354095v1,
GCA_003972885.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,MAG 8,SAMN09407903,PRJna454888,hydrothermal vent metagenome,marine,na,Contig,2.81389,53.7,,QOAW01,127,2660,2018-12-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/972/885/GCA_003972885.1_ASM397288v1,
GCA_004356695.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,CR02bin1,SAMN11097057,PRJna526329,marine sediment metagenome,marine,na,Contig,3.2258,61.2,,SMWQ01,248,3061,2019-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/356/695/GCA_004356695.1_ASM435669v1,
GCA_004356895.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,CR05bin32,SAMN11097051,PRJna526329,marine sediment metagenome,marine,na,Contig,3.073,55.1,,SMWK01,319,2933,2019-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/356/895/GCA_004356895.1_ASM435689v1,
GCA_004357305.1,Gammaproteobacteria bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,CR04bin14,SAMN11097053,PRJna526329,marine sediment metagenome,marine,na,Contig,3.25003,55.2,,SMWM01,301,3127,2019-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/357/305/GCA_004357305.1_ASM435730v1,
GCA_001464935.1,Gammaproteobacteria bacterium Ga0077536,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,Ga0077536,SAMN04254505,PRJna301005,ann arbor drinking water treatment plant metagenome,engineered,Pinto et al. 2016 mSphere,Contig,4.82664,66.8,,LNEL01,65,0,2015-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/464/935/GCA_001464935.1_Gammaproteobacteria_bacterium_Ga0077536,
GCA_001629315.1,Gammaproteobacteria bacterium REDSEA-S08_B8,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S08_B8,SAMN04534683,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,1.21858,51,,LUSC01,235,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/315/GCA_001629315.1_ASM162931v1,
GCA_001629355.1,Gammaproteobacteria bacterium REDSEA-S09_B13,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S09_B13,SAMN04534684,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,2.2804,51.7,,LUSD01,371,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/355/GCA_001629355.1_ASM162935v1,
GCA_001629415.1,Gammaproteobacteria bacterium REDSEA-S14_B7,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S14_B7,SAMN04534686,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,2.4835,52.1,,LUSF01,348,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/415/GCA_001629415.1_ASM162941v1,
GCA_001629395.1,Gammaproteobacteria bacterium REDSEA-S15_B12,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S15_B12,SAMN04534687,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,2.90342,52,,LUSG01,309,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/395/GCA_001629395.1_ASM162939v1,
GCA_001629445.1,Gammaproteobacteria bacterium REDSEA-S21_B8,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S21_B8,SAMN04534688,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,2.71775,52,,LUSH01,374,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/445/GCA_001629445.1_ASM162944v1,
GCA_001629515.1,Gammaproteobacteria bacterium REDSEA-S26_B10,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S26_B10,SAMN04534689,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,1.41403,52.1,,LUSI01,345,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/515/GCA_001629515.1_ASM162951v1,
GCA_001629435.1,Gammaproteobacteria bacterium REDSEA-S27_B14,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S27_B14,SAMN04534690,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,1.42626,52,,LUSJ01,327,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/435/GCA_001629435.1_ASM162943v1,
GCA_001629495.1,Gammaproteobacteria bacterium REDSEA-S45_B9,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,REDSEA-S45_B9,SAMN04534692,PRJna289734,marine Red Sea metagenome,marine,Haroon et al. 2016 Sci Data,Scaffold,2.30897,51.8,,LUSL01,340,0,2016-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/629/495/GCA_001629495.1_ASM162949v1,
GCA_002348385.1,Gammaproteobacteria bacterium UBA2965,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,UBA2965,SAMN06451906,PRJna348753,marine metagenome,marine,Parks et al. 2017 nature Micro,Scaffold,3.34182,61,,DEBD01,48,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/348/385/GCA_002348385.1_ASM234838v1,
GCA_002724215.1,Gemmatimonadetes bacterium,Bacteria;FCB group;Gemmatimonadetes,Gemmatimonadetes,RS822,SAMN07619164,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,5.85059,62.3,,PBOD01,266,5063,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/724/215/GCA_002724215.1_ASM272421v1,
GCA_001919565.1,Gemmatimonadetes bacterium 13_1_20CM_69_28,Bacteria;FCB group;Gemmatimonadetes,Gemmatimonadetes,,SAMN04327667,PRJna297196,"meadow soil samples from Angelo, CA ",terrestrial,Butterfield et al. 2016 PeerJ,Scaffold,2.34284,68.9,,MNIC01,154,2004,2016-12-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/919/565/GCA_001919565.1_ASM191956v1,
GCA_004210645.1,Haliea sp.,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,PMG_163,SAMN10678591,PRJna272922,Biodegradation of isoprene in the terrestrial and marine environment,terrestrial,Crombie et al. 2018 PnaS,Scaffold,5.13949,66.4,,SEBW01,1865,5875,2019-02-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/210/645/GCA_004210645.1_ASM421064v1,
GCA_900102945.1,Halomonas muralis,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,DSM 14789,SAMN05661010,PRJEB16123,DOE isolate,isolate,na,Scaffold,4.13845,61.9,,FNGI01,21,3773,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/945/GCA_900102945.1_IMG-taxon_2599185144_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/945/GCF_900102945.1_IMG-taxon_2599185144_annotated_assembly
GCA_000246875.2,Halomonas sp. KM-1,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,KM-1,SAMD00036607,PRJDB36,isolate,isolate,Kawata et al. 2012,Contig,4.99281,64.1,,BAEU01,173,4447,2012-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/875/GCA_000246875.2_ASM24687v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/875/GCF_000246875.1_ASM24687v2
GCA_002286975.1,Halomonas sp. WRN001,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,WRN001,SAMN07573017,PRJna400729,alkaline soil,terrestrial,na,Contig,5.47588,63.8,,NSKB01,33,4949,2017-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/286/975/GCA_002286975.1_ASM228697v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/975/GCF_002286975.1_ASM228697v1
GCA_003253705.1,Humitalea rosea,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,DSM 24525,SAMN08779109,PRJna443919,GEBA isolate,isolate,na,Scaffold,4.97451,69.6,,QKYU01,73,4518,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/253/705/GCA_003253705.1_ASM325370v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/705/GCF_003253705.1_ASM325370v1
GCA_005503365.1,Hydrogenophaga sp. 2FB,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,2FB,SAMN08712254,PRJna414404,groundwater metagenome,subsurface,Pedron et al. 2019,Contig,6.31051,65.6,,SCML01,126,5879,2019-05-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/503/365/GCA_005503365.1_ASM550336v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/503/365/GCF_005503365.1_ASM550336v1
GCA_003417535.1,Hydrogenophaga sp. LA-38,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,LA-38,SAMN09789156,PRJna485386,isolate,isolate,na,Contig,4.58303,70.1,,QVLS01,37,4169,2018-08-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/417/535/GCA_003417535.1_ASM341753v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/417/535/GCF_003417535.1_ASM341753v1
GCA_000263795.2,Hydrogenophaga sp. PBC,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,PBC,SAMN02471431,PRJna84413,plant microbe interface,plant_associated,Brown et al. 2012,Complete,5.23248,68.4,chromosome:NZ_CP017311.1/CP017311.1,,1,4933,2016-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/795/GCA_000263795.2_Hint_PBC,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/795/GCF_000263795.2_Hint_PBC
GCA_001777155.1,Hydrogenophaga sp. PML113,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,PML113,SAMN05767953,PRJna342778,isolate,isolate,na,Scaffold,4.70036,69.9,,MIYM01,44,4352,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/777/155/GCA_001777155.1_ASM177715v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/777/155/GCF_001777155.1_ASM177715v1
GCA_001724835.1,Hydrogenophaga sp. SCN 70-13,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,,SAMN03652446,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,2.71987,70.1,,MEEA01,290,2438,2016-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/835/GCA_001724835.1_ASM172483v1,
GCA_002359555.1,Hylemonella sp. UBA2652,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA2652,SAMN06452819,PRJna348753,freshwater metagenome,freshwater,Parks et al. 2017 nature Micro,Scaffold,1.87391,54.2,,DENE01,161,0,2017-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/359/555/GCA_002359555.1_ASM235955v1,
GCA_003819725.1,Hyphomicrobiaceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,metabat2.370,SAMN10417385,PRJna330672,sediment metagenome,terrestrial,Dalcin Martins et al. 2018,Contig,3.49599,62.3,,RPQQ01,1617,3693,2018-11-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/819/725/GCA_003819725.1_ASM381972v1,
GCA_002170445.2,Hyphomicrobiaceae bacterium TMED74,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,TMED74,SAMN06971928,PRJna385857,marine plankton metagenome,marine,Tully et al. 2017 PeerJ,Contig,4.96425,53.4,,NHEB02,168,4417,2017-06-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/445/GCA_002170445.2_ASM217044v2,
GCA_900117415.1,Hyphomicrobium sp. CS1BSMeth3,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,CS1BSMeth3,SAMEA4534594,PRJEB17662,DOE isolate,isolate,na,Contig,6.02081,64.4,,FPEI01,6,5411,2016-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/117/415/GCA_900117415.1_CS1BSMeth3_assembly_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/117/415/GCF_900117415.1_CS1BSMeth3_assembly_1
GCA_001724295.1,Hyphomicrobium sp. SCN 65-11,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,,SAMN03652447,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,3.7297,64.6,,MEEB01,397,3274,2016-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/295/GCA_001724295.1_ASM172429v1,
GCA_001724045.1,Kaistia sp. SCN 65-12,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,,SAMN03652428,PRJna279279,Metagenomic analysis of thiocyanate and cyanide biodegrading microbial consortia ,engineered,Kantor RS et al 2015 Env Micro,Scaffold,9.38097,65,,MEDI01,1015,8272,2016-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/724/045/GCA_001724045.1_ASM172404v1,
GCA_002433075.1,Latescibacteria bacterium UBA6620,Bacteria;FCB group;Candidatus Latescibacteria,Candidatus Latescibacteria,UBA6620,SAMN06452352,PRJna348753,aquatic river,freshwater,Parks et al. 2017 nature Micro,Scaffold,5.64217,59.2,,DJHM01,61,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/433/075/GCA_002433075.1_ASM243307v1,
GCA_003444945.1,Lautropia sp.,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,UBA9289,SAMN08017458,PRJna417962,freshwater metagenome,freshwater,Parks et al. 2018 nature Biotech GTDB,Scaffold,2.10724,54.3,,DLWF01,377,2083,2018-09-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/444/945/GCA_003444945.1_ASM344494v1,
GCA_003063645.1,Limnohabitans sp. 2KL-51,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,2KL-51,SAMN06661514,PRJna312876,limnohabitans,freshwater,na,Contig,4.58545,58.7,,NESJ01,76,4107,2018-04-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/063/645/GCA_003063645.1_ASM306364v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/063/645/GCF_003063645.1_ASM306364v1
GCA_002778325.1,Limnohabitans sp. B9-3,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,B9-3,SAMN06661515,PRJna312876,limnohabitans,freshwater,na,Contig,3.39999,56.5,,NESI01,23,3135,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/778/325/GCA_002778325.1_ASM277832v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/778/325/GCF_002778325.1_ASM277832v1
GCA_001269365.1,Limnohabitans sp. Rim11,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Rim11,SAMEA3448423,PRJEB9573,isolate,freshwater,na,Contig,2.85944,52.1,,CXOM01,7,2734,2015-08-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/269/365/GCA_001269365.1_Rim11.a1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/269/365/GCF_001269365.1_Rim11.a1
GCA_000293865.2,Limnohabitans sp. Rim28,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,Rim28,SAMN02470021,PRJna171293,limnohabitans sequencing,freshwater,Zeng et al. 2012,Contig,3.40725,58.5,,ALKN02,67,3269,2012-08-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/293/865/GCA_000293865.2_ASM29386v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/293/865/GCF_000293865.2_ASM29386v2
GCA_002695715.1,Magnetovibrio sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,EAC64,SAMN07619308,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,2.95251,63.1,,NZPX01,201,2843,2017-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/695/715/GCA_002695715.1_ASM269571v1,
GCA_002709445.1,Magnetovibrio sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SP125,SAMN07619312,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,3.87593,63.4,,PAQW01,75,3636,2017-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/709/445/GCA_002709445.1_ASM270944v1,
GCA_002709525.1,Magnetovibrio sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SP115,SAMN07619311,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,3.17565,52.6,,PARE01,79,2857,2017-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/709/525/GCA_002709525.1_ASM270952v1,
GCA_002721825.1,Magnetovibrio sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SP232,SAMN07619313,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,2.73063,43.3,,PBLS01,97,2502,2017-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/721/825/GCA_002721825.1_ASM272182v1,
GCA_002727965.1,Magnetovibrio sp.,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,RS450,SAMN07619310,PRJna391943,Reconstruction of MAGs from global oceans TARA oceans,marine,Tully et al. 2018 Sci Data,Contig,2.19717,53,,PBUS01,202,2037,2017-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/727/965/GCA_002727965.1_ASM272796v1,
GCA_002943565.1,Marinicaulis flavus,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SY-3-19,SAMN08131153,PRJna421049,isolate,isolate,na,Contig,4.92448,60.6,,PJCH01,17,4436,2018-02-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/943/565/GCA_002943565.1_ASM294356v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/943/565/GCF_002943565.1_ASM294356v1
GCA_000170835.1,Marinobacter algicola DG893,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,DG893,SAMN02436149,PRJna19321,dinoflagellate symbiont,symbiont,Green et al. 2006,Contig,4.413,57,,ABCP01,104,3967,2007-06-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/835/GCA_000170835.1_ASM17083v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/170/835/GCF_000170835.1_ASM17083v1
GCA_000831005.1,Marinobacter salarius,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,R9SW1,SAMN02401947,PRJna227392,isolate,isolate,Ivanova et al. 2014,Complete,4.61653,57.1,chromosome:NZ_CP007152.1/CP007152.1,,1,2973,2014-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/005/GCA_000831005.1_ASM83100v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/005/GCF_000831005.1_ASM83100v1
GCA_900114695.1,Marinobacter sp. DSM 26291,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,DSM 26291,SAMN04487868,PRJEB17473,DOE isolate,isolate,na,Contig,4.4922,57,,FOTV01,53,4022,2016-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/695/GCA_900114695.1_IMG-taxon_2619618959_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/695/GCF_900114695.1_IMG-taxon_2619618959_annotated_assembly
GCA_003318275.1,Marinobacter sp. F3R11,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,F3R11,SAMN09522136,PRJna478695,marine metagenome,marine,na,Scaffold,3.3836,53.7,,QOCH01,19,3005,2018-07-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/318/275/GCA_003318275.1_ASM331827v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/318/275/GCF_003318275.1_ASM331827v1
GCA_002168395.1,Methylococcaceae bacterium TMED282,Bacteria;Proteobacteria;Gammaproteobacteria,Gammaproteobacteria,TMED282,SAMN06972136,PRJna385857,marine plankton metagenome,marine,Tully et al. 2017 PeerJ,Contig,1.51124,43.4,,NHMB01,78,1494,2017-06-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/168/395/GCA_002168395.1_ASM216839v1,
GCA_002798435.1,Minwuia thermotolerans,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SY3-13,SAMN08043188,PRJna419133,isolate,isolate,na,Scaffold,4.75248,67.4,,PHIG01,71,4368,2017-11-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/798/435/GCA_002798435.1_ASM279843v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/798/435/GCF_002798435.1_ASM279843v1
GCA_002924445.1,Minwuia thermotolerans,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,SY3-15,SAMN08097999,PRJna419785,isolate,isolate,na,Scaffold,4.90395,67.2,,PIGG01,82,4447,2018-02-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/924/445/GCA_002924445.1_ASM292444v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/924/445/GCF_002924445.1_ASM292444v1
GCA_000661085.1,Mycobacterium [tuberculosis] TKK-01-0051,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,TKK-01-0051,SAMN02053784,PRJna198146,Broad Institute,isolate,na,Scaffold,6.04423,67.7,,JLXW01,2,5535,2014-04-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/661/085/GCA_000661085.1_Myco_sp_TKK-01-0051_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/661/085/GCF_000661085.1_Myco_sp_TKK-01-0051_V1
GCA_001683455.1,Mycobacterium avium,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,RCAD0278,SAMN04325949,PRJna305474,isolate,isolate,na,Complete,4.95361,69.3,chromosome:NZ_CP016396.1/CP016396.1,,1,4435,2016-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/455/GCA_001683455.1_ASM168345v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/455/GCF_001683455.1_ASM168345v1
GCA_002292435.1,Mycobacterium avium,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,FLAC0256,SAMN07528792,PRJna315990,mycobacterium abcessus complex genome sequencing,human_associated,Caverly et al. 2016 genome announc,Contig,5.60501,68.9,,NSFA01,120,5026,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/292/435/GCA_002292435.1_ASM229243v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/292/435/GCF_002292435.1_ASM229243v1
